Name,Wins,Losses,Draws,Status,Division,Location,Weight,Alignment,Music,Members,Faction,Manager,Moves,Belt,Awards
The Young Bucks,0,0,0,Active,3,"Rancho Cucamonga, California",354 lbs.,Neutral,&quot;The Final Countdown&quot; by Triumph,Matthew Jackson|Nicholas Jackson,The Elite,,Superkick Party,,AEW World Tag-Team Champions (3x)|AEW World Trios Champion (2x)
FTR,0,1,0,Active,3,"Asheville, North Carolina",455 lbs.,Face,&quot;Darkside of TR&quot; by Mikey Rukus,Cash Wheeler|Dax Harwood,,,Big Rig|Swissblade,,AEW World Tag-Team Champions (2x)
The Elite,0,0,0,Active,4,United States,572 lbs.,Neutral,&quot;The Final Countdown&quot; by Triumph,Kenny Omega|Matthew Jackson|Nicholas Jackson,The Elite,,,,AEW World Trios Champions (2x)
Rated FTR,0,0,0,Active,4,"Asheville, North Carolina",695 lbs.,Face,&quot;Metalingus&quot; by Alter Bridge,Adam Copelin|Cash Wheeler|Dax Harwood,,,,,
The Death Riders,1,0,0,Active,4,,617 lbs.,Heel,&quot;Death Rider&quot by Yonosuke Kitamura,Claudio Castagnoli|Pac|Wheeler Yuta,The Death Riders,,,AEW World Trios Champions,AEW World Trios Champions
The Hurt Syndicate,0,0,0,Active,3,,524 lbs.,Heel,&quot;Hurt You&quot; by Lane-O,Bobby Lashley|Shelton Benjamin,The Hurt Syndicate,MVP,,AEW World Tag-Team Champions,AEW World Tag-Team Champions
The Learning Tree,1,0,0,Active,4,,723 lbs.,Heel,&quot;Learning Tree&quot; by OC Smith,Big Bill|Chris Jericho|Bryan Keith,The Learning Tree,,,,
